accountID,town,country,age,job,married,education,defaulted?,current_balance,housing,has_loan,last_contact,cc_tr,last_contact_day,last_contact_month,last_contact_duration_s,campaign,days_since_last_contact,previous,poutcome,made_deposit
24634684,Crawley,UK,39,management,married,tertiary,no,-190,no,yes,unknown,1,11,jun,893,8,-1,0,unknown,yes
80795929,Southend-on-Sea,UK,53,housemaid,married,primary,no,362,no,no,cellular,1,28,jul,1169,2,-1,0,unknown,yes
30786087,Gillingham,UK,79,retired,divorced,primary,no,2787,no,no,telephone,5,13,jul,617,1,377,1,success,yes
38925327,Gateshead,UK,43,services,single,secondary,no,550,yes,no,cellular,4,13,may,107,2,-1,0,unknown,no
30560733,Eastbourne,UK,35,technician,single,secondary,no,344,no,no,cellular,2,27,aug,519,16,-1,0,unknown,yes
87009742,Cambridge,UK,24,student,single,secondary,no,139,no,no,cellular,1,9,sep,430,4,-1,0,unknown,yes
64060643,Eastbourne,UK,49,blue-collar,divorced,primary,no,24,yes,no,cellular,5,11,may,701,1,362,1,success,yes
64609858,London,UK,54,self-employed,single,tertiary,no,384,no,yes,cellular,4,27,may,200,1,-1,0,unknown,yes
69018404,Colchester,UK,29,services,married,primary,no,-102,no,no,unknown,4,4,jul,134,1,-1,0,unknown,no
65740222,Bristol,UK,56,blue-collar,single,secondary,no,1187,yes,no,cellular,2,5,feb,47,2,-1,0,unknown,no
29661157,Newport,UK,47,blue-collar,married,primary,no,4157,no,no,unknown,2,11,jun,90,3,-1,0,unknown,no
34139582,Kingston upon Hull,UK,33,blue-collar,married,secondary,no,0,yes,no,cellular,3,19,nov,330,2,-1,0,unknown,no
24296510,London,UK,41,blue-collar,married,secondary,no,193,yes,no,unknown,5,29,may,130,1,-1,0,unknown,no
11825220,Southampton,UK,41,blue-collar,married,secondary,no,2823,yes,no,unknown,2,14,may,858,1,-1,0,unknown,yes
75837861,Liverpool,UK,44,admin.,single,secondary,no,1534,no,no,cellular,3,7,aug,166,1,99,2,other,yes
54575562,Kingston upon Hull,UK,29,technician,single,secondary,no,590,no,no,cellular,2,25,may,124,1,-1,0,unknown,yes
64801198,Telford,UK,53,blue-collar,married,secondary,no,5700,yes,no,unknown,4,14,may,97,1,-1,0,unknown,no
62301291,Slough,UK,56,unemployed,single,primary,no,1110,no,no,cellular,4,4,feb,945,2,-1,0,unknown,yes
12682955,Eastbourne,UK,32,management,married,tertiary,no,62,yes,n,telephone,1,13,nov,45,1,-1,0,unknown,no
82798557,Glasgow,UK,42,admin.,married,primary,no,1547,yes,yes,unknown,5,27,may,272,3,-1,0,unknown,no
64772914,Birmingham,UK,41,technician,divorced,secondary,no,1631,yes,no,cellular,4,12,aug,173,2,-1,0,unknown,no
15829584,Dundee,UK,66,management,married,secondary,no,587,no,no,cellular,3,12,may,457,2,392,2,success,yes
98447583,Stoke-on-Trent,UK,37,management,married,tertiary,no,6771,no,no,cellular,4,5,mar,319,1,-1,0,unknown,yes
58631380,London,UK,34,blue-collar,single,secondary,no,79,no,yes,cellular,4,20,nov,104,1,-1,0,unknown,no
55054208,Nottingham,UK,55,admin.,married,secondary,no,602,no,no,cellular,3,4,feb,390,2,150,6,success,yes
40465501,Slough,UK,29,technician,single,tertiary,no,0,yes,no,cellular,5,7,may,347,2,337,6,failure,yes
23892589,Swindon,UK,56,unemployed,married,secondary,no,660,yes,no,unknown,4,6,jun,72,3,-1,0,unknown,no
44430058,Swindon,UK,47,management,married,tertiary,no,60,no,no,unknown,2,2,jun,282,7,-1,0,unknown,no
36222630,Manchester,UK,56,services,divorced,secondary,no,72,yes,yes,cellular,1,7,may,263,1,357,4,failure,no
48878462,Blackburn,UK,50,blue-collar,married,unknown,no,605,yes,no,unknown,3,15,may,200,1,-1,0,unknown,no
13553207,Reading,UK,48,services,divorced,primary,no,-110,no,yes,unknown,1,19,jun,164,2,-1,0,unknown,no
93449999,Plymouth,UK,36,unemployed,divorced,secondary,no,5,yes,no,cellular,4,8,jul,305,1,-1,0,unknown,no
21134341,Warrington,UK,42,technician,married,secondary,no,0,no,no,cellular,3,30,jul,351,2,-1,0,unknown,no
51065542,Manchester,UK,40,technician,married,secondary,no,192,no,no,cellular,1,7,aug,266,2,-1,0,unknown,no
90919921,Glasgow,UK,35,admin.,single,secondary,no,182,yes,no,unknown,4,3,jun,117,1,-1,0,unknown,no
42271006,Derby,UK,38,self-employed,married,secondary,no,215,yes,no,cellular,2,20,nov,70,1,167,1,failure,no
42366326,Gillingham,UK,27,management,single,tertiary,no,12956,yes,no,unknown,4,29,may,789,3,-1,0,unknown,yes
25201367,Peterborough,UK,35,entrepreneur,married,secondary,no,2971,no,no,cellular,4,4,may,429,4,164,2,failure,yes
14987490,Birkenhead,UK,37,management,married,tertiary,no,3556,no,no,cellular,1,9,nov,268,1,-1,0,unknown,yes
88599834,Chesterfield,UK,37,services,married,secondary,no,1,no,no,unknown,2,15,may,395,2,-1,0,unknown,no
54360695,Bristol,UK,32,blue-collar,married,secondary,no,320,yes,yes,cellular,1,3,feb,22,4,-1,0,unknown,no
34480461,London,UK,33,management,married,tertiary,no,3401,no,no,cellular,4,20,nov,253,1,-1,0,unknown,yes
35040739,County Down,UK,27,blue-collar,single,secondary,no,181,no,no,unknown,5,13,may,147,1,-1,0,unknown,no
29662589,Portsmouth,UK,37,management,married,tertiary,no,1125,yes,no,unknown,4,3,jun,301,1,-1,0,unknown,no
