Age,Gender,Yrs DL,Points,NCD,Engine cc,Ins Group,Stored,Car Age,Premium
52,M,16,0,0,1200,4,Garage,2,195.3249685
46,F,22,8,1,1400,2,Garage,7,225.0872375
59,F,9,0,0,1400,5,Garage,14,201.0784059
62,M,35,0,0,1400,4,Garage,12,211.764922
59,F,3,0,4,1400,5,Road,13,251.4895076
78,M,57,4,1,1800,3,Garage,1,229.4572877
63,F,3,0,4,1400,6,Road,14,255.24524
30,M,13,8,1,1200,4,Garage,6,229.1301496
24,M,5,0,3,1200,3,Garage,13,214.798482
23,M,3,0,2,1200,2,Garage,4,187.7651986
47,F,13,0,2,1200,6,Road,4,235.8612861
59,M,2,0,0,1400,6,Garage,18,198.6767408
74,M,39,0,3,1200,3,Garage,3,232.2395619
68,M,12,0,4,1200,2,Drive,3,234.7276614
41,F,10,0,1,1200,5,Garage,6,201.8388136
54,F,16,4,0,1200,2,Garage,7,199.7182621
75,F,34,0,0,1200,2,Garage,5,193.4431357
71,M,33,0,0,1600,6,Drive,14,228.0524203
46,M,25,0,4,1400,4,Garage,4,240.2852002
71,F,43,0,0,1200,4,Garage,2,201.7253489
65,F,12,0,2,1200,5,Road,3,234.5839077
76,F,11,0,2,2000,8,Garage,1,222.3594284
35,F,2,8,4,1400,6,Garage,1,243.5658924
33,M,8,0,2,1200,5,Garage,7,213.1171492
46,M,4,0,4,1400,5,Garage,2,226.9997958
79,M,49,8,4,1200,5,Road,13,306.0663682
72,M,44,0,0,1400,3,Garage,5,205.3561475
52,F,19,0,0,1200,3,Drive,2,196.8640096
61,F,16,0,1,1600,5,Garage,5,209.4156674
64,M,2,0,0,1200,5,Garage,1,182.5257985
19,F,2,0,4,1400,2,Road,10,224.5637893
29,F,8,0,1,1400,3,Garage,3,188.8432004
35,F,1,0,1,1200,5,Garage,1,178.1523408
48,F,13,0,0,1200,2,Garage,2,179.7815495
57,F,8,0,0,1800,6,Road,7,217.9477785
23,F,5,8,4,1200,3,Garage,11,245.5246717
38,F,2,0,1,1200,6,Garage,5,189.9863772
27,M,8,0,2,1200,4,Garage,8,209.3365363
31,F,1,0,4,1200,3,Garage,2,201.1704457
54,M,11,0,3,1600,6,Garage,16,240.6739554
25,F,1,0,1,1400,6,Road,8,204.2622704
64,F,40,0,3,1200,5,Drive,2,241.2916566
72,M,3,0,3,1200,2,Drive,13,222.0945738
58,M,30,0,2,1400,6,Drive,1,234.604387
44,F,3,0,4,1600,3,Drive,19,235.7993738
18,F,1,0,4,1200,5,Garage,19,217.2325304
54,M,10,0,2,1200,4,Road,7,235.8668621
49,M,9,0,4,1800,4,Road,1,251.4739935
52,M,26,0,4,1400,6,Garage,1,244.5859859
29,F,10,0,1,1200,3,Road,2,209.0575954
54,F,33,0,1,1200,2,Drive,7,210.1762795
32,M,12,0,2,1200,4,Garage,13,217.9394494
72,F,5,0,2,1200,2,Garage,7,199.3811788
66,M,43,0,4,1200,6,Road,5,272.9473493
28,F,6,0,1,1400,7,Garage,3,197.5583181
27,M,4,0,4,1600,6,Garage,2,225.8359706
50,M,30,0,2,1400,3,Garage,19,230.5750645
66,F,31,0,4,1400,5,Garage,7,246.2694453
74,F,56,0,0,1200,2,Drive,14,212.5276809
24,M,6,4,3,1200,4,Garage,3,225.4261487
28,F,9,0,4,1200,3,Road,1,237.1339807
71,M,34,0,1,1600,4,Garage,12,223.2850426
68,F,13,0,2,1600,7,Garage,10,227.1099197
23,M,6,0,2,1400,4,Garage,4,203.3230919
53,M,21,0,3,1800,6,Garage,10,241.4863508
80,F,18,0,2,1400,6,Road,10,248.290451
51,F,22,0,1,1200,3,Garage,1,199.0814927
79,F,47,0,4,1400,4,Drive,1,251.261826
80,F,46,0,0,1200,2,Road,5,216.3776908
58,F,13,0,4,1600,7,Garage,14,249.0374021
74,F,36,0,1,1400,6,Garage,4,218.4119361
25,M,8,0,0,1800,7,Garage,1,192.6097173
27,F,1,0,0,1200,6,Garage,5,171.7072054
79,M,10,0,3,1400,3,Garage,14,231.445565
41,M,13,0,4,1200,6,Road,2,257.1686818
77,F,4,4,4,1200,5,Garage,1,238.8836879
67,F,28,0,3,1200,5,Road,11,258.0047334
25,M,4,0,1,1400,5,Road,3,212.9216712
46,M,8,8,4,1200,2,Garage,13,255.0236768
64,F,31,0,4,1800,6,Road,1,264.9107983
47,F,28,0,3,1400,4,Garage,1,224.9638793
58,F,37,4,3,1200,2,Garage,2,232.9965673
44,F,7,0,1,1400,6,Road,13,228.3520621
34,M,6,4,3,1200,3,Drive,1,230.7768413
28,M,10,0,0,1400,3,Road,1,202.7476183
76,M,34,0,2,1400,2,Garage,11,223.1198509
50,M,18,0,3,1800,5,Drive,8,243.75604
21,M,1,0,3,1200,6,Road,6,224.4966899
51,M,4,0,3,1400,3,Drive,2,219.0142614
39,M,15,0,4,1400,4,Garage,1,232.4779572
35,M,9,0,0,1400,4,Garage,18,201.1256435
63,M,11,0,2,1400,3,Garage,4,212.3975414
78,M,42,0,1,1600,5,Garage,1,219.9029943
41,M,8,0,0,1200,2,Garage,8,183.4364555
65,M,45,0,1,1200,2,Garage,1,205.3407447
72,F,7,0,4,1600,3,Garage,1,224.1175685
57,M,37,0,3,1200,4,Road,13,261.5660624
67,F,39,0,4,1200,5,Garage,6,246.6555905
36,M,9,0,3,1200,6,Garage,10,229.5864586
35,F,6,0,0,1200,5,Garage,8,188.0864166
58,F,18,0,4,1200,6,Garage,3,239.3470286
67,F,50,0,3,1200,3,Garage,4,230.232273
63,M,24,0,4,1200,4,Garage,3,240.9038174
26,M,5,0,3,1400,5,Garage,2,214.2205853
68,F,20,0,0,1200,4,Garage,9,200.8562288
58,M,25,0,1,1200,5,Drive,3,221.544107
36,F,15,0,0,1600,4,Road,1,208.5052725
37,F,18,0,1,1200,5,Garage,2,202.5198737
70,F,44,0,0,1400,4,Garage,2,202.5665414
20,F,1,0,3,1200,4,Garage,1,190.7001672
67,F,39,0,3,1600,4,Garage,1,231.1187535
60,F,22,0,2,1600,4,Garage,1,215.6558155
32,M,7,0,0,1400,5,Road,2,208.5734782
40,M,14,0,4,1600,5,Road,4,258.171461
19,M,2,0,1,1200,4,Drive,15,199.0349983
55,F,33,0,0,2000,4,Garage,13,208.9191631
77,F,10,0,0,1600,4,Drive,10,206.5438435
23,M,5,0,4,1400,6,Garage,2,225.6707209
72,F,47,0,2,1400,4,Road,11,250.5195722
37,M,4,0,0,1200,3,Road,12,205.6762462
28,M,1,0,2,1600,5,Drive,1,199.8056028
18,M,1,0,1,1400,3,Garage,2,171.5922755
77,F,16,0,1,1200,2,Garage,1,194.4234997
39,M,21,0,4,1400,2,Garage,11,233.9277727
27,F,5,0,1,1200,3,Garage,3,183.7407463
71,F,9,0,0,1200,2,Road,9,205.5715822
62,F,12,0,3,1400,4,Drive,11,236.4013907
56,M,35,8,1,1200,3,Garage,1,234.2108127
25,F,3,0,2,1400,6,Garage,6,201.4511687
43,M,21,0,1,1200,5,Garage,10,215.3553368
32,M,2,0,1,1200,2,Garage,6,178.7634113
35,M,6,0,1,1200,4,Garage,3,195.1111692
67,M,31,0,1,1400,4,Garage,2,213.414501
72,F,48,0,3,1200,2,Garage,5,225.8752836
24,M,6,0,3,1400,4,Garage,3,212.8635688
31,M,13,0,4,1200,4,Road,6,252.7258015
32,M,5,0,1,1200,6,Road,1,216.741901
77,F,38,0,1,1600,3,Garage,3,209.788091
79,M,31,0,2,1400,4,Garage,3,225.5325428
49,F,21,0,3,1200,2,Garage,6,216.9830885
46,M,29,0,3,1200,3,Garage,18,238.0660458
32,F,13,0,2,1400,3,Garage,4,204.3147835
69,F,5,0,1,1200,5,Garage,3,198.0579117
39,F,15,0,4,1200,6,Garage,8,238.7134052
69,F,41,0,4,1400,5,Garage,19,258.4617383
54,F,36,0,3,1200,2,Road,1,238.0723705
77,M,41,8,2,1200,5,Garage,2,255.6352429
21,M,3,0,4,1400,7,Garage,14,232.511684
49,M,6,4,3,1400,5,Garage,2,234.0822812
47,F,5,0,3,1200,5,Road,1,233.3862405
76,F,20,0,1,1200,3,Garage,3,203.1102729
29,F,11,0,1,1400,6,Garage,1,199.0327927
19,M,2,0,0,1400,6,Garage,4,178.4119531
60,F,14,0,1,1600,3,Drive,19,220.6041735
59,M,12,0,1,1200,6,Garage,1,208.6400632
33,M,2,0,1,1400,6,Garage,13,200.0285018
40,M,5,0,2,1200,6,Garage,1,208.5270494
67,M,3,0,3,1800,4,Garage,12,223.9880738
52,F,21,0,2,1400,3,Garage,3,211.2354307
43,M,10,0,0,1200,2,Garage,10,187.2026283
62,M,30,0,2,1600,7,Garage,9,236.2609173
57,M,17,0,4,1200,3,Road,3,253.5086649
73,F,13,0,4,1400,3,Road,1,248.5125718
55,F,8,0,2,1200,2,Road,15,227.3865444
35,F,3,0,4,1200,6,Garage,1,219.3721932
47,F,12,0,1,1200,2,Garage,7,192.9727806
